Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
RecName: Full=C-C chemokine receptor type 4; Short=C-C CKR-4; Short=CC-CKR-4; Short=CCR-4; Short=CCR4; AltName: Full=K5-5; AltName: CD_antigen=CD194 [Homo sapiens],Homo sapiens,180,180,99%,5e-53,35.83,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P51679.1?report=genbank&log$=prottop&blast_rank=11&RID=5ZDUCSJU013"",""P51679.1"")"
RecName: Full=C-C chemokine receptor type 4; Short=C-C CKR-4; Short=CC-CKR-4; Short=CCR-4; Short=CCR4; AltName: CD_antigen=CD194 [Canis lupus familiaris],Canis lupus familiaris,179,179,98%,7e-53,35.74,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q8MJW8.1?report=genbank&log$=prottop&blast_rank=12&RID=5ZDUCSJU013"",""Q8MJW8.1"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: CD_antigen=CD182 [Bos taurus],Bos taurus,179,179,92%,1e-52,39.52,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q28003.1?report=genbank&log$=prottop&blast_rank=13&RID=5ZDUCSJU013"",""Q28003.1"")"
RecName: Full=C-X-C chemokine receptor type 1; Short=CXC-R1; Short=CXCR-1; AltName: Full=High affinity interleukin-8 receptor A; Short=IL-8R A; AltName: CD_antigen=CD181 [Rattus norvegicus],Rattus norvegicus,178,178,94%,1e-52,38.85,349,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P70612.1?report=genbank&log$=prottop&blast_rank=14&RID=5ZDUCSJU013"",""P70612.1"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=GRO/MGSA receptor; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: CD_antigen=CD182 [Mus musculus],Mus musculus,178,178,97%,2e-52,38.08,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P35343.1?report=genbank&log$=prottop&blast_rank=15&RID=5ZDUCSJU013"",""P35343.1"")"
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Canis lupus familiaris],Canis lupus familiaris,178,178,85%,3e-52,41.20,365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q5KSK8.1?report=genbank&log$=prottop&blast_rank=16&RID=5ZDUCSJU013"",""Q5KSK8.1"")"
RecName: Full=C-X-C chemokine receptor type 1; Short=CXC-R1; Short=CXCR-1; AltName: Full=High affinity interleukin-8 receptor A; Short=IL-8R A; AltName: Full=IL-8 receptor type 1; AltName: CD_antigen=CD181 [Macaca mulatta],Macaca mulatta,177,177,96%,3e-52,37.95,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q2YEG0.1?report=genbank&log$=prottop&blast_rank=17&RID=5ZDUCSJU013"",""Q2YEG0.1"")"
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=CKR-L2; AltName: Full=G protein-coupled receptor 9; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Homo sapiens],Homo sapiens,177,177,80%,7e-52,41.60,368,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P49682.2?report=genbank&log$=prottop&blast_rank=18&RID=5ZDUCSJU013"",""P49682.2"")"
RecName: Full=C-X-C chemokine receptor type 5; Short=CXC-R5; Short=CXCR-5; AltName: Full=Burkitt lymphoma receptor 1; AltName: Full=Monocyte-derived receptor 15; Short=MDR-15; AltName: CD_antigen=CD185 [Homo sapiens],Homo sapiens,177,177,96%,7e-52,37.33,372,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P32302.1?report=genbank&log$=prottop&blast_rank=19&RID=5ZDUCSJU013"",""P32302.1"")"
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Mus musculus],Mus musculus,177,177,80%,8e-52,41.60,367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O88410.2?report=genbank&log$=prottop&blast_rank=20&RID=5ZDUCSJU013"",""O88410.2"")"
RecName: Full=C-X-C chemokine receptor type 4-A; Short=CXC-R4-A; Short=CXCR-4-A; Short=xCXCR4; AltName: Full=Stromal cell-derived factor 1 receptor A; Short=SDF-1 receptor A [Xenopus laevis],Xenopus laevis,175,175,95%,3e-51,35.57,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9YGC3.1?report=genbank&log$=prottop&blast_rank=21&RID=5ZDUCSJU013"",""Q9YGC3.1"")"
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Rattus norvegicus],Rattus norvegicus,175,175,96%,4e-51,39.80,367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9JII9.1?report=genbank&log$=prottop&blast_rank=22&RID=5ZDUCSJU013"",""Q9JII9.1"")"
RecName: Full=C-C chemokine receptor type 2; Short=C-C CKR-2; Short=CC-CKR-2; Short=CCR-2; Short=CCR2; AltName: Full=Monocyte chemoattractant protein 1 receptor; Short=MCP-1-R; AltName: CD_antigen=CD192 [Macaca mulatta],Macaca mulatta,173,173,96%,3e-50,33.56,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O18793.2?report=genbank&log$=prottop&blast_rank=23&RID=5ZDUCSJU013"",""O18793.2"")"
RecName: Full=C-C chemokine receptor type 9; Short=C-C CKR-9; Short=CC-CKR-9; Short=CCR-9; AltName: Full=Chemokine C-C receptor 10; AltName: CD_antigen=CDw199 [Mus musculus],Mus musculus,173,173,98%,3e-50,31.31,369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9WUT7.1?report=genbank&log$=prottop&blast_rank=24&RID=5ZDUCSJU013"",""Q9WUT7.1"")"
RecName: Full=C-C chemokine receptor type 9; Short=C-C CKR-9; Short=CC-CKR-9; Short=CCR-9; AltName: Full=G-protein coupled receptor 28; AltName: Full=GPR-9-6; AltName: CD_antigen=CDw199 [Homo sapiens],Homo sapiens,172,172,98%,9e-50,31.49,369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P51686.2?report=genbank&log$=prottop&blast_rank=25&RID=5ZDUCSJU013"",""P51686.2"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Pre-B-cell-derived chemokine receptor; Short=PB-CKR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Mus musculus],Mus musculus,171,171,98%,2e-49,32.80,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P70658.2?report=genbank&log$=prottop&blast_rank=26&RID=5ZDUCSJU013"",""P70658.2"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor [Xenopus tropicalis],Xenopus tropicalis,170,170,95%,4e-49,34.56,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q07FZ4.1?report=genbank&log$=prottop&blast_rank=27&RID=5ZDUCSJU013"",""Q07FZ4.1"")"
RecName: Full=C-C chemokine receptor type 9; Short=C-C CKR-9; Short=CC-CKR-9; Short=CCR-9; AltName: CD_antigen=CDw199 [Ovis aries],Ovis aries,169,169,98%,6e-49,32.90,367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q1WLP9.1?report=genbank&log$=prottop&blast_rank=28&RID=5ZDUCSJU013"",""Q1WLP9.1"")"
RecName: Full=Atypical chemokine receptor 4; AltName: Full=C-C chemokine receptor type 11; Short=C-C CKR-11; Short=CC-CKR-11; Short=CCR-11; AltName: Full=CC chemokine receptor-like 1; Short=CCRL1; AltName: Full=CCX CKR [Homo sapiens],Homo sapiens,168,168,97%,1e-48,31.77,350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9NPB9.1?report=genbank&log$=prottop&blast_rank=29&RID=5ZDUCSJU013"",""Q9NPB9.1"")"
RecName: Full=C-C chemokine receptor type 2; Short=C-C CKR-2; Short=CC-CKR-2; Short=CCR-2; Short=CCR2; AltName: Full=Monocyte chemoattractant protein 1 receptor; Short=MCP-1-R; AltName: CD_antigen=CD192 [Homo sapiens],Homo sapiens,168,168,95%,3e-48,32.99,374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P41597.1?report=genbank&log$=prottop&blast_rank=30&RID=5ZDUCSJU013"",""P41597.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=LCR1; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Bos taurus],Bos taurus,167,167,95%,3e-48,33.56,353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P25930.1?report=genbank&log$=prottop&blast_rank=31&RID=5ZDUCSJU013"",""P25930.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Canis lupus familiaris],Canis lupus familiaris,167,167,96%,3e-48,33.44,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q5ECR9.1?report=genbank&log$=prottop&blast_rank=32&RID=5ZDUCSJU013"",""Q5ECR9.1"")"
RecName: Full=Atypical chemokine receptor 4; AltName: Full=C-C chemokine receptor type 11; Short=C-C CKR-11; Short=CC-CKR-11; Short=CCR-11; AltName: Full=CC chemokine receptor-like 1; AltName: Full=Protein PPR1; AltName: Full=Putative gustatory receptor type B [Bos taurus],Bos taurus,166,166,97%,5e-48,30.77,350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P35350.1?report=genbank&log$=prottop&blast_rank=33&RID=5ZDUCSJU013"",""P35350.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Canis lupus familiaris],Canis lupus familiaris,166,166,95%,7e-48,33.22,353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q3LSL6.1?report=genbank&log$=prottop&blast_rank=34&RID=5ZDUCSJU013"",""Q3LSL6.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Pan troglodytes],Pan troglodytes,166,166,95%,7e-48,32.89,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P61072.1?report=genbank&log$=prottop&blast_rank=35&RID=5ZDUCSJU013"",""P61072.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Rattus norvegicus],Rattus norvegicus,166,166,98%,9e-48,33.12,349,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O08565.2?report=genbank&log$=prottop&blast_rank=36&RID=5ZDUCSJU013"",""O08565.2"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Tupaia chinensis],Tupaia chinensis,165,165,95%,2e-47,33.22,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q7YS92.1?report=genbank&log$=prottop&blast_rank=37&RID=5ZDUCSJU013"",""Q7YS92.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Saimiri sciureus],Saimiri sciureus,165,165,95%,2e-47,32.89,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q8HZU0.1?report=genbank&log$=prottop&blast_rank=38&RID=5ZDUCSJU013"",""Q8HZU0.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Callithrix jacchus],Callithrix jacchus,165,165,95%,2e-47,32.89,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q8HZU1.1?report=genbank&log$=prottop&blast_rank=39&RID=5ZDUCSJU013"",""Q8HZU1.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Papio anubis],Papio anubis,165,165,95%,3e-47,32.89,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P56491.1?report=genbank&log$=prottop&blast_rank=40&RID=5ZDUCSJU013"",""P56491.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Macaca fascicularis],Macaca fascicularis,164,164,95%,3e-47,32.89,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q28474.2?report=genbank&log$=prottop&blast_rank=41&RID=5ZDUCSJU013"",""Q28474.2"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Felis catus],Felis catus,164,164,95%,4e-47,33.22,353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P56498.1?report=genbank&log$=prottop&blast_rank=42&RID=5ZDUCSJU013"",""P56498.1"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=GRO/MGSA receptor; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: CD_antigen=CD182 [Canis lupus familiaris],Canis lupus familiaris,164,164,88%,9e-47,38.65,356,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O97571.1?report=genbank&log$=prottop&blast_rank=43&RID=5ZDUCSJU013"",""O97571.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Sus scrofa],Sus scrofa,163,163,95%,1e-46,33.22,353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q764M9.1?report=genbank&log$=prottop&blast_rank=44&RID=5ZDUCSJU013"",""Q764M9.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Allochrocebus solatus],Allochrocebus solatus,163,163,96%,1e-46,33.67,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9BGN6.1?report=genbank&log$=prottop&blast_rank=45&RID=5ZDUCSJU013"",""Q9BGN6.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Allochrocebus lhoesti],Allochrocebus lhoesti,163,163,96%,1e-46,33.67,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9XT76.1?report=genbank&log$=prottop&blast_rank=46&RID=5ZDUCSJU013"",""Q9XT76.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Bos taurus],Bos taurus,163,163,98%,1e-46,32.29,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q2HJ17.1?report=genbank&log$=prottop&blast_rank=47&RID=5ZDUCSJU013"",""Q2HJ17.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Macaca mulatta],Macaca mulatta,163,163,95%,1e-46,32.89,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P79394.1?report=genbank&log$=prottop&blast_rank=48&RID=5ZDUCSJU013"",""P79394.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Cercocebus atys],Cercocebus atys,162,162,95%,2e-46,32.42,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O62747.1?report=genbank&log$=prottop&blast_rank=49&RID=5ZDUCSJU013"",""O62747.1"")"
RecName: Full=C-C chemokine receptor type 2; Short=C-C CKR-2; Short=CC-CKR-2; Short=CCR-2; Short=CCR2; AltName: Full=JE/FIC receptor; AltName: Full=MCP-1 receptor; AltName: CD_antigen=CD192 [Mus musculus],Mus musculus,163,163,98%,2e-46,32.48,373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P51683.2?report=genbank&log$=prottop&blast_rank=50&RID=5ZDUCSJU013"",""P51683.2"")"
Description(Sequences  with  E-value WORSE than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  



		


