Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Felis catus],Felis catus,135,135,95%,3e-36,28.72,353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P56498.1?report=genbank&log$=prottop&blast_rank=12&RID=5ZDUH3US013"",""P56498.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Macaca fascicularis],Macaca fascicularis,134,134,95%,6e-36,28.72,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q28474.2?report=genbank&log$=prottop&blast_rank=13&RID=5ZDUH3US013"",""Q28474.2"")"
RecName: Full=C-C chemokine receptor type 2; Short=C-C CKR-2; Short=CC-CKR-2; Short=CCR-2; Short=CCR2; AltName: Full=JE/FIC receptor; AltName: Full=MCP-1 receptor; AltName: CD_antigen=CD192 [Mus musculus],Mus musculus,134,134,97%,7e-36,30.13,373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P51683.2?report=genbank&log$=prottop&blast_rank=14&RID=5ZDUH3US013"",""P51683.2"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Macaca mulatta],Macaca mulatta,134,134,95%,7e-36,28.72,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P79394.1?report=genbank&log$=prottop&blast_rank=15&RID=5ZDUH3US013"",""P79394.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Papio anubis],Papio anubis,134,134,95%,8e-36,28.72,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P56491.1?report=genbank&log$=prottop&blast_rank=16&RID=5ZDUH3US013"",""P56491.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Pan troglodytes],Pan troglodytes,134,134,98%,9e-36,28.52,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P61072.1?report=genbank&log$=prottop&blast_rank=17&RID=5ZDUH3US013"",""P61072.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Callithrix jacchus],Callithrix jacchus,133,133,95%,1e-35,28.72,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q8HZU1.1?report=genbank&log$=prottop&blast_rank=18&RID=5ZDUH3US013"",""Q8HZU1.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Saimiri sciureus],Saimiri sciureus,133,133,95%,1e-35,28.72,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q8HZU0.1?report=genbank&log$=prottop&blast_rank=19&RID=5ZDUH3US013"",""Q8HZU0.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Chlorocebus aethiops],Chlorocebus aethiops,133,133,95%,2e-35,28.72,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9TSQ8.1?report=genbank&log$=prottop&blast_rank=20&RID=5ZDUH3US013"",""Q9TSQ8.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=LCR1; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Bos taurus],Bos taurus,133,133,95%,2e-35,29.41,353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P25930.1?report=genbank&log$=prottop&blast_rank=21&RID=5ZDUH3US013"",""P25930.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Sus scrofa],Sus scrofa,132,132,95%,2e-35,28.37,353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q764M9.1?report=genbank&log$=prottop&blast_rank=22&RID=5ZDUH3US013"",""Q764M9.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Canis lupus familiaris],Canis lupus familiaris,132,132,95%,3e-35,28.03,353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q3LSL6.1?report=genbank&log$=prottop&blast_rank=23&RID=5ZDUH3US013"",""Q3LSL6.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Tupaia chinensis],Tupaia chinensis,132,132,95%,4e-35,28.03,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q7YS92.1?report=genbank&log$=prottop&blast_rank=24&RID=5ZDUH3US013"",""Q7YS92.1"")"
RecName: Full=C-X-C chemokine receptor type 5; Short=CXC-R5; Short=CXCR-5; AltName: Full=Burkitt lymphoma receptor 1; AltName: Full=Monocyte-derived receptor 15; Short=MDR-15; AltName: CD_antigen=CD185 [Homo sapiens],Homo sapiens,132,132,95%,5e-35,31.53,372,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P32302.1?report=genbank&log$=prottop&blast_rank=25&RID=5ZDUH3US013"",""P32302.1"")"
RecName: Full=C-C chemokine receptor type 2; Short=C-C CKR-2; Short=CC-CKR-2; Short=CCR-2; Short=CCR2; AltName: Full=Monocyte chemoattractant protein 1 receptor; Short=MCP-1-R; AltName: CD_antigen=CD192 [Macaca mulatta],Macaca mulatta,130,130,99%,1e-34,29.97,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O18793.2?report=genbank&log$=prottop&blast_rank=26&RID=5ZDUH3US013"",""O18793.2"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Cercocebus atys],Cercocebus atys,130,130,95%,2e-34,28.37,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O62747.1?report=genbank&log$=prottop&blast_rank=27&RID=5ZDUH3US013"",""O62747.1"")"
RecName: Full=C-C chemokine receptor type 2; Short=C-C CKR-2; Short=CC-CKR-2; Short=CCR-2; Short=CCR2; AltName: CD_antigen=CD192 [Rattus norvegicus],Rattus norvegicus,129,129,97%,6e-34,28.90,373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O55193.1?report=genbank&log$=prottop&blast_rank=28&RID=5ZDUH3US013"",""O55193.1"")"
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Mus musculus],Mus musculus,127,127,87%,3e-33,35.90,367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O88410.2?report=genbank&log$=prottop&blast_rank=29&RID=5ZDUH3US013"",""O88410.2"")"
RecName: Full=C-C chemokine receptor type 4; Short=C-C CKR-4; Short=CC-CKR-4; Short=CCR-4; Short=CCR4; AltName: CD_antigen=CD194 [Mus musculus],Mus musculus,127,127,92%,3e-33,31.56,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P51680.2?report=genbank&log$=prottop&blast_rank=30&RID=5ZDUH3US013"",""P51680.2"")"
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Rattus norvegicus],Rattus norvegicus,127,127,85%,3e-33,36.09,367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9JII9.1?report=genbank&log$=prottop&blast_rank=31&RID=5ZDUH3US013"",""Q9JII9.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Allochrocebus solatus],Allochrocebus solatus,127,127,98%,4e-33,29.24,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9BGN6.1?report=genbank&log$=prottop&blast_rank=32&RID=5ZDUH3US013"",""Q9BGN6.1"")"
RecName: Full=C-C chemokine receptor type 2; Short=C-C CKR-2; Short=CC-CKR-2; Short=CCR-2; Short=CCR2; AltName: Full=Monocyte chemoattractant protein 1 receptor; Short=MCP-1-R; AltName: CD_antigen=CD192 [Homo sapiens],Homo sapiens,127,127,97%,5e-33,29.33,374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P41597.1?report=genbank&log$=prottop&blast_rank=33&RID=5ZDUH3US013"",""P41597.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Allochrocebus lhoesti],Allochrocebus lhoesti,126,126,98%,5e-33,29.24,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9XT76.1?report=genbank&log$=prottop&blast_rank=34&RID=5ZDUH3US013"",""Q9XT76.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Rattus norvegicus],Rattus norvegicus,126,126,96%,5e-33,28.23,349,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O08565.2?report=genbank&log$=prottop&blast_rank=35&RID=5ZDUH3US013"",""O08565.2"")"
RecName: Full=C-X-C chemokine receptor type 1; Short=CXC-R1; Short=CXCR-1; AltName: Full=High affinity interleukin-8 receptor A; Short=IL-8R A; AltName: Full=IL-8 receptor type 1; AltName: CD_antigen=CD181 [Hoolock hoolock],Hoolock hoolock,126,126,97%,5e-33,30.69,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q2YEG2.1?report=genbank&log$=prottop&blast_rank=36&RID=5ZDUH3US013"",""Q2YEG2.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Cercopithecus cephus],Cercopithecus cephus,126,126,98%,8e-33,28.90,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9TV47.1?report=genbank&log$=prottop&blast_rank=37&RID=5ZDUH3US013"",""Q9TV47.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Erythrocebus patas],Erythrocebus patas,126,126,98%,8e-33,28.90,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q95ND0.1?report=genbank&log$=prottop&blast_rank=38&RID=5ZDUH3US013"",""Q95ND0.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Mandrillus leucophaeus],Mandrillus leucophaeus,125,125,98%,1e-32,28.90,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q95ND2.1?report=genbank&log$=prottop&blast_rank=39&RID=5ZDUH3US013"",""Q95ND2.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Macaca mulatta],Macaca mulatta,125,125,98%,1e-32,28.90,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P61813.1?report=genbank&log$=prottop&blast_rank=40&RID=5ZDUH3US013"",""P61813.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Macaca arctoides],Macaca arctoides,125,125,98%,1e-32,28.90,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O97975.1?report=genbank&log$=prottop&blast_rank=41&RID=5ZDUH3US013"",""O97975.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Mandrillus sphinx],Mandrillus sphinx,125,125,98%,2e-32,28.90,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q95ND1.1?report=genbank&log$=prottop&blast_rank=42&RID=5ZDUH3US013"",""Q95ND1.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Lophocebus aterrimus],Lophocebus aterrimus,125,125,98%,2e-32,28.90,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P61755.1?report=genbank&log$=prottop&blast_rank=43&RID=5ZDUH3US013"",""P61755.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Miopithecus talapoin],Miopithecus talapoin,125,125,98%,2e-32,28.90,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q95NC3.1?report=genbank&log$=prottop&blast_rank=44&RID=5ZDUH3US013"",""Q95NC3.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Chlorocebus sabaeus],Chlorocebus sabaeus,125,125,98%,2e-32,28.90,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9TV43.1?report=genbank&log$=prottop&blast_rank=45&RID=5ZDUH3US013"",""Q9TV43.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Cercocebus galeritus],Cercocebus galeritus,125,125,98%,2e-32,28.90,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9TV49.1?report=genbank&log$=prottop&blast_rank=46&RID=5ZDUH3US013"",""Q9TV49.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Chlorocebus tantalus],Chlorocebus tantalus,124,124,98%,2e-32,28.90,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q95NE8.1?report=genbank&log$=prottop&blast_rank=47&RID=5ZDUH3US013"",""Q95NE8.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Chlorocebus pygerythrus],Chlorocebus pygerythrus,124,124,98%,3e-32,28.90,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9TV42.1?report=genbank&log$=prottop&blast_rank=48&RID=5ZDUH3US013"",""Q9TV42.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Chlorocebus aethiops],Chlorocebus aethiops,124,124,98%,3e-32,28.90,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P56493.1?report=genbank&log$=prottop&blast_rank=49&RID=5ZDUH3US013"",""P56493.1"")"
RecName: Full=C-C chemokine receptor type 4; Short=C-C CKR-4; Short=CC-CKR-4; Short=CCR-4; Short=CCR4; AltName: Full=K5-5; AltName: CD_antigen=CD194 [Homo sapiens],Homo sapiens,124,124,94%,4e-32,31.14,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P51679.1?report=genbank&log$=prottop&blast_rank=50&RID=5ZDUH3US013"",""P51679.1"")"
Description(Sequences  with  E-value WORSE than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  



		


