Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Mus musculus],Mus musculus,176,176,87%,1e-51,42.21,367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O88410.2?report=genbank&log$=prottop&blast_rank=16&RID=42HUBWRS013"",""O88410.2"")"
RecName: Full=C-X-C chemokine receptor type 5; Short=CXC-R5; Short=CXCR-5; AltName: Full=Burkitt lymphoma receptor 1; AltName: Full=Monocyte-derived receptor 15; Short=MDR-15; AltName: CD_antigen=CD185 [Homo sapiens],Homo sapiens,176,176,94%,1e-51,38.54,372,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P32302.1?report=genbank&log$=prottop&blast_rank=17&RID=42HUBWRS013"",""P32302.1"")"
RecName: Full=C-X-C chemokine receptor type 1; Short=CXC-R1; Short=CXCR-1; AltName: Full=High affinity interleukin-8 receptor A; Short=IL-8R A; AltName: Full=IL-8 receptor type 1; AltName: CD_antigen=CD181 [Pan troglodytes],Pan troglodytes,176,176,99%,1e-51,36.03,350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P55920.1?report=genbank&log$=prottop&blast_rank=18&RID=42HUBWRS013"",""P55920.1"")"
RecName: Full=C-X-C chemokine receptor type 1; Short=CXC-R1; Short=CXCR-1; AltName: Full=CDw128a; AltName: Full=High affinity interleukin-8 receptor A; Short=IL-8R A; AltName: Full=IL-8 receptor type 1; AltName: CD_antigen=CD181 [Homo sapiens],Homo sapiens,175,175,98%,2e-51,36.27,350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P25024.2?report=genbank&log$=prottop&blast_rank=19&RID=42HUBWRS013"",""P25024.2"")"
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Rattus norvegicus],Rattus norvegicus,175,175,96%,4e-51,42.21,367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9JII9.1?report=genbank&log$=prottop&blast_rank=20&RID=42HUBWRS013"",""Q9JII9.1"")"
RecName: Full=C-X-C chemokine receptor type 1; Short=CXC-R1; Short=CXCR-1; AltName: Full=High affinity interleukin-8 receptor A; Short=IL-8R A; AltName: Full=IL-8 receptor type 1; AltName: CD_antigen=CD181 [Pongo pygmaeus],Pongo pygmaeus,174,174,99%,4e-51,36.70,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q2YEF9.1?report=genbank&log$=prottop&blast_rank=21&RID=42HUBWRS013"",""Q2YEF9.1"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=CDw128b; AltName: Full=GRO/MGSA receptor; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: Full=IL-8 receptor type 2; AltName: CD_antigen=CD182 [Homo sapiens],Homo sapiens,172,172,99%,5e-50,37.04,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P25025.2?report=genbank&log$=prottop&blast_rank=22&RID=42HUBWRS013"",""P25025.2"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: CD_antigen=CD182 [Pan troglodytes],Pan troglodytes,172,172,99%,5e-50,37.04,357,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q28807.2?report=genbank&log$=prottop&blast_rank=23&RID=42HUBWRS013"",""Q28807.2"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=GRO/MGSA receptor; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: CD_antigen=CD182 [Canis lupus familiaris],Canis lupus familiaris,171,171,92%,6e-50,36.96,356,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O97571.1?report=genbank&log$=prottop&blast_rank=24&RID=42HUBWRS013"",""O97571.1"")"
RecName: Full=C-X-C chemokine receptor type 1; Short=CXC-R1; Short=CXCR-1; AltName: Full=High affinity interleukin-8 receptor A; Short=IL-8R A; AltName: CD_antigen=CD181 [Mus musculus],Mus musculus,171,171,88%,6e-50,37.36,351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q810W6.1?report=genbank&log$=prottop&blast_rank=25&RID=42HUBWRS013"",""Q810W6.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Pan troglodytes],Pan troglodytes,169,169,96%,5e-49,34.14,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P61072.1?report=genbank&log$=prottop&blast_rank=26&RID=42HUBWRS013"",""P61072.1"")"
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Canis lupus familiaris],Canis lupus familiaris,169,169,88%,7e-49,42.16,365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q5KSK8.1?report=genbank&log$=prottop&blast_rank=27&RID=42HUBWRS013"",""Q5KSK8.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Felis catus],Felis catus,169,169,96%,8e-49,33.22,353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P56498.1?report=genbank&log$=prottop&blast_rank=28&RID=42HUBWRS013"",""P56498.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Papio anubis],Papio anubis,168,168,96%,8e-49,34.14,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P56491.1?report=genbank&log$=prottop&blast_rank=29&RID=42HUBWRS013"",""P56491.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Canis lupus familiaris],Canis lupus familiaris,168,168,96%,1e-48,32.87,353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q3LSL6.1?report=genbank&log$=prottop&blast_rank=30&RID=42HUBWRS013"",""Q3LSL6.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor [Xenopus tropicalis],Xenopus tropicalis,168,168,93%,1e-48,35.21,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q07FZ4.1?report=genbank&log$=prottop&blast_rank=31&RID=42HUBWRS013"",""Q07FZ4.1"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: CD_antigen=CD182 [Macaca mulatta],Macaca mulatta,168,168,98%,1e-48,36.61,353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q28519.1?report=genbank&log$=prottop&blast_rank=32&RID=42HUBWRS013"",""Q28519.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Macaca fascicularis],Macaca fascicularis,168,168,96%,1e-48,33.45,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q28474.2?report=genbank&log$=prottop&blast_rank=33&RID=42HUBWRS013"",""Q28474.2"")"
RecName: Full=C-X-C chemokine receptor type 4-A; Short=CXC-R4-A; Short=CXCR-4-A; Short=xCXCR4; AltName: Full=Stromal cell-derived factor 1 receptor A; Short=SDF-1 receptor A [Xenopus laevis],Xenopus laevis,168,168,96%,1e-48,34.02,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9YGC3.1?report=genbank&log$=prottop&blast_rank=34&RID=42HUBWRS013"",""Q9YGC3.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Sus scrofa],Sus scrofa,167,167,96%,2e-48,33.45,353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q764M9.1?report=genbank&log$=prottop&blast_rank=35&RID=42HUBWRS013"",""Q764M9.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Macaca mulatta],Macaca mulatta,167,167,96%,2e-48,33.45,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P79394.1?report=genbank&log$=prottop&blast_rank=36&RID=42HUBWRS013"",""P79394.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Saimiri sciureus],Saimiri sciureus,167,167,96%,2e-48,34.14,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q8HZU0.1?report=genbank&log$=prottop&blast_rank=37&RID=42HUBWRS013"",""Q8HZU0.1"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: CD_antigen=CD182 [Gorilla gorilla gorilla],Gorilla gorilla gorilla,167,167,94%,2e-48,37.59,353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q28422.1?report=genbank&log$=prottop&blast_rank=38&RID=42HUBWRS013"",""Q28422.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Callithrix jacchus],Callithrix jacchus,167,167,96%,2e-48,34.14,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q8HZU1.1?report=genbank&log$=prottop&blast_rank=39&RID=42HUBWRS013"",""Q8HZU1.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Chlorocebus aethiops],Chlorocebus aethiops,167,167,96%,3e-48,33.45,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9TSQ8.1?report=genbank&log$=prottop&blast_rank=40&RID=42HUBWRS013"",""Q9TSQ8.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Cercocebus atys],Cercocebus atys,166,166,93%,5e-48,33.93,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O62747.1?report=genbank&log$=prottop&blast_rank=41&RID=42HUBWRS013"",""O62747.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Tupaia chinensis],Tupaia chinensis,166,166,96%,5e-48,33.45,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q7YS92.1?report=genbank&log$=prottop&blast_rank=42&RID=42HUBWRS013"",""Q7YS92.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=LCR1; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Bos taurus],Bos taurus,166,166,96%,9e-48,32.75,353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P25930.1?report=genbank&log$=prottop&blast_rank=43&RID=42HUBWRS013"",""P25930.1"")"
RecName: Full=C-C chemokine receptor type 2; Short=C-C CKR-2; Short=CC-CKR-2; Short=CCR-2; Short=CCR2; AltName: Full=JE/FIC receptor; AltName: Full=MCP-1 receptor; AltName: CD_antigen=CD192 [Mus musculus],Mus musculus,165,165,93%,4e-47,31.90,373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P51683.2?report=genbank&log$=prottop&blast_rank=44&RID=42HUBWRS013"",""P51683.2"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Rattus norvegicus],Rattus norvegicus,163,163,96%,7e-47,33.79,349,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O08565.2?report=genbank&log$=prottop&blast_rank=45&RID=42HUBWRS013"",""O08565.2"")"
RecName: Full=C-C chemokine receptor type 2; Short=C-C CKR-2; Short=CC-CKR-2; Short=CCR-2; Short=CCR2; AltName: CD_antigen=CD192 [Rattus norvegicus],Rattus norvegicus,163,163,93%,1e-46,31.54,373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O55193.1?report=genbank&log$=prottop&blast_rank=46&RID=42HUBWRS013"",""O55193.1"")"
RecName: Full=C-X-C chemokine receptor type 3-2 [Danio rerio],Danio rerio,161,161,95%,7e-46,35.25,378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/E9QJ73.2?report=genbank&log$=prottop&blast_rank=47&RID=42HUBWRS013"",""E9QJ73.2"")"
RecName: Full=C-C chemokine receptor type 2; Short=C-C CKR-2; Short=CC-CKR-2; Short=CCR-2; Short=CCR2; AltName: Full=Monocyte chemoattractant protein 1 receptor; Short=MCP-1-R; AltName: CD_antigen=CD192 [Macaca mulatta],Macaca mulatta,160,160,99%,9e-46,30.98,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O18793.2?report=genbank&log$=prottop&blast_rank=48&RID=42HUBWRS013"",""O18793.2"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Pre-B-cell-derived chemokine receptor; Short=PB-CKR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Mus musculus],Mus musculus,160,160,93%,1e-45,33.33,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P70658.2?report=genbank&log$=prottop&blast_rank=49&RID=42HUBWRS013"",""P70658.2"")"
RecName: Full=C-C chemokine receptor type 2; Short=C-C CKR-2; Short=CC-CKR-2; Short=CCR-2; Short=CCR2; AltName: Full=Monocyte chemoattractant protein 1 receptor; Short=MCP-1-R; AltName: CD_antigen=CD192 [Homo sapiens],Homo sapiens,160,160,97%,1e-45,31.03,374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P41597.1?report=genbank&log$=prottop&blast_rank=50&RID=42HUBWRS013"",""P41597.1"")"
Description(Sequences  with  E-value WORSE than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  



		


