Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
RecName: Full=C-X-C chemokine receptor type 4-B; Short=CXC-R4-B; Short=CXCR-4-B; AltName: Full=Stromal cell-derived factor 1 receptor B; Short=SDF-1 receptor B [Xenopus laevis],Xenopus laevis,176,176,99%,9e-52,34.60,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q7ZXJ7.1?report=genbank&log$=prottop&blast_rank=11&RID=42HT5DN001N"",""Q7ZXJ7.1"")"
RecName: Full=C-C chemokine receptor type 4; Short=C-C CKR-4; Short=CC-CKR-4; Short=CCR-4; Short=CCR4; AltName: CD_antigen=CD194 [Canis lupus familiaris],Canis lupus familiaris,174,174,100%,4e-51,35.64,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q8MJW8.1?report=genbank&log$=prottop&blast_rank=12&RID=42HT5DN001N"",""Q8MJW8.1"")"
RecName: Full=C-C chemokine receptor type 4; Short=C-C CKR-4; Short=CC-CKR-4; Short=CCR-4; Short=CCR4; AltName: Full=K5-5; AltName: CD_antigen=CD194 [Homo sapiens],Homo sapiens,174,174,100%,5e-51,35.99,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P51679.1?report=genbank&log$=prottop&blast_rank=13&RID=42HT5DN001N"",""P51679.1"")"
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=CKR-L2; AltName: Full=G protein-coupled receptor 9; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Homo sapiens],Homo sapiens,173,173,84%,2e-50,41.15,368,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P49682.2?report=genbank&log$=prottop&blast_rank=14&RID=42HT5DN001N"",""P49682.2"")"
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Canis lupus familiaris],Canis lupus familiaris,172,172,89%,3e-50,41.15,365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q5KSK8.1?report=genbank&log$=prottop&blast_rank=15&RID=42HT5DN001N"",""Q5KSK8.1"")"
RecName: Full=C-C chemokine receptor type 4; Short=C-C CKR-4; Short=CC-CKR-4; Short=CCR-4; Short=CCR4; AltName: CD_antigen=CD194 [Mus musculus],Mus musculus,172,172,100%,3e-50,36.33,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P51680.2?report=genbank&log$=prottop&blast_rank=16&RID=42HT5DN001N"",""P51680.2"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Canis lupus familiaris],Canis lupus familiaris,172,172,100%,3e-50,34.26,353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q3LSL6.1?report=genbank&log$=prottop&blast_rank=17&RID=42HT5DN001N"",""Q3LSL6.1"")"
RecName: Full=C-X-C chemokine receptor type 1; Short=CXC-R1; Short=CXCR-1; AltName: Full=High affinity interleukin-8 receptor A; Short=IL-8R A; AltName: CD_antigen=CD181 [Rattus norvegicus],Rattus norvegicus,171,171,95%,4e-50,38.77,349,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P70612.1?report=genbank&log$=prottop&blast_rank=18&RID=42HT5DN001N"",""P70612.1"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=GRO/MGSA receptor; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: CD_antigen=CD182 [Mus musculus],Mus musculus,172,172,95%,4e-50,37.68,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P35343.1?report=genbank&log$=prottop&blast_rank=19&RID=42HT5DN001N"",""P35343.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=LCR1; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Bos taurus],Bos taurus,171,171,100%,6e-50,34.26,353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P25930.1?report=genbank&log$=prottop&blast_rank=20&RID=42HT5DN001N"",""P25930.1"")"
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Mus musculus],Mus musculus,171,171,84%,8e-50,40.74,367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O88410.2?report=genbank&log$=prottop&blast_rank=21&RID=42HT5DN001N"",""O88410.2"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Pan troglodytes],Pan troglodytes,170,170,100%,2e-49,33.91,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P61072.1?report=genbank&log$=prottop&blast_rank=22&RID=42HT5DN001N"",""P61072.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Saimiri sciureus],Saimiri sciureus,169,169,100%,3e-49,33.91,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q8HZU0.1?report=genbank&log$=prottop&blast_rank=23&RID=42HT5DN001N"",""Q8HZU0.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Pre-B-cell-derived chemokine receptor; Short=PB-CKR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Mus musculus],Mus musculus,169,169,100%,4e-49,33.56,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P70658.2?report=genbank&log$=prottop&blast_rank=24&RID=42HT5DN001N"",""P70658.2"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Felis catus],Felis catus,169,169,100%,4e-49,34.26,353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P56498.1?report=genbank&log$=prottop&blast_rank=25&RID=42HT5DN001N"",""P56498.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Callithrix jacchus],Callithrix jacchus,169,169,100%,4e-49,33.91,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q8HZU1.1?report=genbank&log$=prottop&blast_rank=26&RID=42HT5DN001N"",""Q8HZU1.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Papio anubis],Papio anubis,169,169,100%,4e-49,33.91,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P56491.1?report=genbank&log$=prottop&blast_rank=27&RID=42HT5DN001N"",""P56491.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Macaca fascicularis],Macaca fascicularis,169,169,100%,4e-49,33.91,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q28474.2?report=genbank&log$=prottop&blast_rank=28&RID=42HT5DN001N"",""Q28474.2"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Tupaia chinensis],Tupaia chinensis,169,169,100%,5e-49,33.91,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q7YS92.1?report=genbank&log$=prottop&blast_rank=29&RID=42HT5DN001N"",""Q7YS92.1"")"
RecName: Full=C-X-C chemokine receptor type 5; Short=CXC-R5; Short=CXCR-5; AltName: Full=Burkitt lymphoma receptor 1; AltName: Full=Monocyte-derived receptor 15; Short=MDR-15; AltName: CD_antigen=CD185 [Homo sapiens],Homo sapiens,168,168,98%,1e-48,35.99,372,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P32302.1?report=genbank&log$=prottop&blast_rank=30&RID=42HT5DN001N"",""P32302.1"")"
RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183 [Rattus norvegicus],Rattus norvegicus,168,168,84%,1e-48,40.24,367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9JII9.1?report=genbank&log$=prottop&blast_rank=31&RID=42HT5DN001N"",""Q9JII9.1"")"
RecName: Full=C-X-C chemokine receptor type 4-A; Short=CXC-R4-A; Short=CXCR-4-A; Short=xCXCR4; AltName: Full=Stromal cell-derived factor 1 receptor A; Short=SDF-1 receptor A [Xenopus laevis],Xenopus laevis,167,167,99%,2e-48,35.29,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9YGC3.1?report=genbank&log$=prottop&blast_rank=32&RID=42HT5DN001N"",""Q9YGC3.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Macaca mulatta],Macaca mulatta,167,167,100%,2e-48,33.91,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P79394.1?report=genbank&log$=prottop&blast_rank=33&RID=42HT5DN001N"",""P79394.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Sus scrofa],Sus scrofa,166,166,100%,4e-48,34.26,353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q764M9.1?report=genbank&log$=prottop&blast_rank=34&RID=42HT5DN001N"",""Q764M9.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: CD_antigen=CD184 [Chlorocebus aethiops],Chlorocebus aethiops,166,166,100%,7e-48,33.56,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9TSQ8.1?report=genbank&log$=prottop&blast_rank=35&RID=42HT5DN001N"",""Q9TSQ8.1"")"
RecName: Full=C-X-C chemokine receptor type 2; Short=CXC-R2; Short=CXCR-2; AltName: Full=GRO/MGSA receptor; AltName: Full=High affinity interleukin-8 receptor B; Short=IL-8R B; AltName: CD_antigen=CD182 [Canis lupus familiaris],Canis lupus familiaris,165,165,92%,1e-47,40.00,356,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O97571.1?report=genbank&log$=prottop&blast_rank=36&RID=42HT5DN001N"",""O97571.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Rattus norvegicus],Rattus norvegicus,165,165,100%,2e-47,33.91,349,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O08565.2?report=genbank&log$=prottop&blast_rank=37&RID=42HT5DN001N"",""O08565.2"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Fusin; AltName: Full=Leukocyte-derived seven transmembrane domain receptor; Short=LESTR; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor; AltName: CD_antigen=CD184 [Cercocebus atys],Cercocebus atys,164,164,100%,2e-47,33.22,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O62747.1?report=genbank&log$=prottop&blast_rank=38&RID=42HT5DN001N"",""O62747.1"")"
RecName: Full=Atypical chemokine receptor 4; AltName: Full=C-C chemokine receptor type 11; Short=C-C CKR-11; Short=CC-CKR-11; Short=CCR-11; AltName: Full=CC chemokine receptor-like 1; Short=CCRL1; AltName: Full=CCX CKR [Homo sapiens],Homo sapiens,161,161,100%,5e-46,33.10,350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9NPB9.1?report=genbank&log$=prottop&blast_rank=39&RID=42HT5DN001N"",""Q9NPB9.1"")"
RecName: Full=C-X-C chemokine receptor type 4; Short=CXC-R4; Short=CXCR-4; AltName: Full=Stromal cell-derived factor 1 receptor; Short=SDF-1 receptor [Xenopus tropicalis],Xenopus tropicalis,161,161,98%,5e-46,34.39,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q07FZ4.1?report=genbank&log$=prottop&blast_rank=40&RID=42HT5DN001N"",""Q07FZ4.1"")"
RecName: Full=C-C chemokine receptor type 6; Short=C-C CKR-6; Short=CC-CKR-6; Short=CCR-6; AltName: Full=Chemokine receptor-like 3; Short=CKR-L3; AltName: Full=DRY6; AltName: Full=G-protein coupled receptor 29; AltName: Full=GPR-CY4; Short=GPRCY4; AltName: Full=LARC receptor; AltName: CD_antigen=CD196 [Homo sapiens],Homo sapiens,161,161,99%,6e-46,32.42,374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P51684.2?report=genbank&log$=prottop&blast_rank=41&RID=42HT5DN001N"",""P51684.2"")"
RecName: Full=Atypical chemokine receptor 4; AltName: Full=C-C chemokine receptor type 11; Short=C-C CKR-11; Short=CC-CKR-11; Short=CCR-11; AltName: Full=CC chemokine receptor-like 1; AltName: Full=Protein PPR1; AltName: Full=Putative gustatory receptor type B [Bos taurus],Bos taurus,160,160,100%,9e-46,30.45,350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P35350.1?report=genbank&log$=prottop&blast_rank=42&RID=42HT5DN001N"",""P35350.1"")"
RecName: Full=C-C chemokine receptor type 9; Short=C-C CKR-9; Short=CC-CKR-9; Short=CCR-9; AltName: Full=G-protein coupled receptor 28; AltName: Full=GPR-9-6; AltName: CD_antigen=CDw199 [Homo sapiens],Homo sapiens,160,160,100%,2e-45,31.96,369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P51686.2?report=genbank&log$=prottop&blast_rank=43&RID=42HT5DN001N"",""P51686.2"")"
RecName: Full=C-C chemokine receptor type 9; Short=C-C CKR-9; Short=CC-CKR-9; Short=CCR-9; AltName: Full=Chemokine C-C receptor 10; AltName: CD_antigen=CDw199 [Mus musculus],Mus musculus,159,159,100%,3e-45,31.19,369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9WUT7.1?report=genbank&log$=prottop&blast_rank=44&RID=42HT5DN001N"",""Q9WUT7.1"")"
RecName: Full=C-C chemokine receptor type 6; Short=C-C CKR-6; Short=CC-CKR-6; Short=CCR-6; AltName: Full=KY411; AltName: CD_antigen=CD196 [Mus musculus],Mus musculus,159,159,99%,4e-45,32.65,367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O54689.1?report=genbank&log$=prottop&blast_rank=45&RID=42HT5DN001N"",""O54689.1"")"
RecName: Full=C-C chemokine receptor type 2; Short=C-C CKR-2; Short=CC-CKR-2; Short=CCR-2; Short=CCR2; AltName: Full=Monocyte chemoattractant protein 1 receptor; Short=MCP-1-R; AltName: CD_antigen=CD192 [Macaca mulatta],Macaca mulatta,157,157,95%,1e-44,34.17,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O18793.2?report=genbank&log$=prottop&blast_rank=46&RID=42HT5DN001N"",""O18793.2"")"
RecName: Full=Probable C-C chemokine receptor type 3; Short=C-C CKR-3; Short=CC-CKR-3; Short=CCR-3; Short=CCR3; Short=CKR3; AltName: Full=Macrophage inflammatory protein 1-alpha receptor-like 2; Short=MIP-1 alpha RL2; AltName: CD_antigen=CD193 [Mus musculus],Mus musculus,157,157,95%,2e-44,34.63,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P51678.2?report=genbank&log$=prottop&blast_rank=47&RID=42HT5DN001N"",""P51678.2"")"
RecName: Full=C-X-C chemokine receptor type 1; Short=CXC-R1; Short=CXCR-1; AltName: Full=High affinity interleukin-8 receptor A; Short=IL-8R A; AltName: Full=IL-8 receptor type 1; AltName: CD_antigen=CD181 [Gorilla gorilla gorilla],Gorilla gorilla gorilla,156,156,95%,3e-44,38.21,350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P55919.1?report=genbank&log$=prottop&blast_rank=48&RID=42HT5DN001N"",""P55919.1"")"
RecName: Full=C-C chemokine receptor type 9; Short=C-C CKR-9; Short=CC-CKR-9; Short=CCR-9; AltName: CD_antigen=CDw199 [Ovis aries],Ovis aries,156,156,100%,4e-44,31.85,367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q1WLP9.1?report=genbank&log$=prottop&blast_rank=49&RID=42HT5DN001N"",""Q1WLP9.1"")"
"RecName: Full=Type-1 angiotensin II receptor B; AltName: Full=Angiotensin 2 receptor, type 1-B; AltName: Full=Angiotensin II receptor, type 1-B; AltName: Full=Angiotensin type 1 receptor; Short=AT1 receptor 1; Short=XAT-1 [Xenopus laevis]",Xenopus laevis,156,156,95%,4e-44,32.27,363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P35373.1?report=genbank&log$=prottop&blast_rank=50&RID=42HT5DN001N"",""P35373.1"")"
Description(Sequences  with  E-value WORSE than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  



		


