Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Lophocebus aterrimus],Lophocebus aterrimus,468,468,99%,2e-166,80.87,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P61755.1?report=genbank&log$=prottop&blast_rank=21&RID=5ESEE3G3016"",""P61755.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Plecturocebus moloch],Plecturocebus moloch,468,468,99%,2e-166,79.53,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q95NC2.1?report=genbank&log$=prottop&blast_rank=22&RID=5ESEE3G3016"",""Q95NC2.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Cercopithecus ascanius],Cercopithecus ascanius,468,468,99%,3e-166,80.87,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9TV48.1?report=genbank&log$=prottop&blast_rank=23&RID=5ESEE3G3016"",""Q9TV48.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Trachypithecus johnii],Trachypithecus johnii,468,468,99%,4e-166,80.54,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q95NC6.1?report=genbank&log$=prottop&blast_rank=24&RID=5ESEE3G3016"",""Q95NC6.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; AltName: Full=MIP-1 alpha receptor; AltName: CD_antigen=CD195 [Rattus norvegicus],Rattus norvegicus,468,468,100%,4e-166,77.59,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O08556.1?report=genbank&log$=prottop&blast_rank=25&RID=5ESEE3G3016"",""O08556.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Chlorocebus pygerythrus],Chlorocebus pygerythrus,467,467,99%,5e-166,80.87,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9TV42.1?report=genbank&log$=prottop&blast_rank=26&RID=5ESEE3G3016"",""Q9TV42.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Rhinopithecus avunculus],Rhinopithecus avunculus,467,467,99%,5e-166,80.54,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O97962.1?report=genbank&log$=prottop&blast_rank=27&RID=5ESEE3G3016"",""O97962.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Trachypithecus francoisi],Trachypithecus francoisi,467,467,99%,6e-166,80.54,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O97878.1?report=genbank&log$=prottop&blast_rank=28&RID=5ESEE3G3016"",""O97878.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Gorilla gorilla gorilla],Gorilla gorilla gorilla,467,467,99%,7e-166,80.20,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P56439.1?report=genbank&log$=prottop&blast_rank=29&RID=5ESEE3G3016"",""P56439.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Colobus polykomos],Colobus polykomos,467,467,99%,7e-166,80.54,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q95NC8.1?report=genbank&log$=prottop&blast_rank=30&RID=5ESEE3G3016"",""Q95NC8.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Theropithecus gelada],Theropithecus gelada,467,467,99%,8e-166,80.54,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q95NC1.1?report=genbank&log$=prottop&blast_rank=31&RID=5ESEE3G3016"",""Q95NC1.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Rhinopithecus bieti],Rhinopithecus bieti,467,467,99%,8e-166,80.54,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O97880.1?report=genbank&log$=prottop&blast_rank=32&RID=5ESEE3G3016"",""O97880.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Trachypithecus phayrei],Trachypithecus phayrei,466,466,99%,9e-166,80.54,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O97879.1?report=genbank&log$=prottop&blast_rank=33&RID=5ESEE3G3016"",""O97879.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Pongo pygmaeus],Pongo pygmaeus,466,466,99%,9e-166,80.20,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O97881.1?report=genbank&log$=prottop&blast_rank=34&RID=5ESEE3G3016"",""O97881.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Pan troglodytes],Pan troglodytes,466,466,99%,1e-165,80.20,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P56440.1?report=genbank&log$=prottop&blast_rank=35&RID=5ESEE3G3016"",""P56440.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Chlorocebus aethiops],Chlorocebus aethiops,466,466,99%,1e-165,80.54,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P56493.1?report=genbank&log$=prottop&blast_rank=36&RID=5ESEE3G3016"",""P56493.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: Full=CHEMR13; AltName: Full=HIV-1 fusion coreceptor; AltName: CD_antigen=CD195 [Homo sapiens],Homo sapiens,466,466,99%,1e-165,79.87,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P51681.1?report=genbank&log$=prottop&blast_rank=37&RID=5ESEE3G3016"",""P51681.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Pygathrix nemaeus],Pygathrix nemaeus,466,466,99%,2e-165,80.20,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/O97882.1?report=genbank&log$=prottop&blast_rank=38&RID=5ESEE3G3016"",""O97882.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Erythrocebus patas],Erythrocebus patas,466,466,99%,2e-165,80.54,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q95ND0.1?report=genbank&log$=prottop&blast_rank=39&RID=5ESEE3G3016"",""Q95ND0.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Chlorocebus tantalus],Chlorocebus tantalus,466,466,99%,2e-165,80.54,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q95NE8.1?report=genbank&log$=prottop&blast_rank=40&RID=5ESEE3G3016"",""Q95NE8.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Nasalis larvatus],Nasalis larvatus,465,465,99%,4e-165,80.20,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q95NC7.1?report=genbank&log$=prottop&blast_rank=41&RID=5ESEE3G3016"",""Q95NC7.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Chlorocebus sabaeus],Chlorocebus sabaeus,464,464,99%,7e-165,80.20,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9TV43.1?report=genbank&log$=prottop&blast_rank=42&RID=5ESEE3G3016"",""Q9TV43.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Mico humeralifer],Mico humeralifer,464,464,99%,9e-165,78.86,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q6WN98.1?report=genbank&log$=prottop&blast_rank=43&RID=5ESEE3G3016"",""Q6WN98.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Saimiri sciureus],Saimiri sciureus,462,462,99%,4e-164,78.52,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q8HZT9.1?report=genbank&log$=prottop&blast_rank=44&RID=5ESEE3G3016"",""Q8HZT9.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Ateles geoffroyi],Ateles geoffroyi,462,462,99%,6e-164,78.52,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q95NC4.1?report=genbank&log$=prottop&blast_rank=45&RID=5ESEE3G3016"",""Q95NC4.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Cercopithecus cephus],Cercopithecus cephus,462,462,99%,7e-164,80.20,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9TV47.1?report=genbank&log$=prottop&blast_rank=46&RID=5ESEE3G3016"",""Q9TV47.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Cercopithecus nictitans],Cercopithecus nictitans,456,456,99%,1e-161,79.53,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q9TV45.1?report=genbank&log$=prottop&blast_rank=47&RID=5ESEE3G3016"",""Q9TV45.1"")"
RecName: Full=C-C chemokine receptor type 5; Short=C-C CKR-5; Short=CC-CKR-5; Short=CCR-5; Short=CCR5; AltName: CD_antigen=CD195 [Alouatta seniculus],Alouatta seniculus,442,442,99%,5e-156,78.86,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q95NC9.1?report=genbank&log$=prottop&blast_rank=48&RID=5ESEE3G3016"",""Q95NC9.1"")"
RecName: Full=C-C chemokine receptor type 3; Short=C-C CKR-3; Short=CC-CKR-3; Short=CCR-3; Short=CCR3; Short=CKR3; AltName: CD_antigen=CD193 [Canis lupus familiaris],Canis lupus familiaris,366,366,99%,7e-126,61.20,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q64H34.1?report=genbank&log$=prottop&blast_rank=49&RID=5ESEE3G3016"",""Q64H34.1"")"
RecName: Full=C-C chemokine receptor type 1; Short=C-C CKR-1; Short=CC-CKR-1; Short=CCR-1; Short=CCR1; AltName: Full=HM145; AltName: Full=LD78 receptor; AltName: Full=Macrophage inflammatory protein 1-alpha receptor; Short=MIP-1alpha-R; AltName: Full=RANTES-R; AltName: CD_antigen=CD191 [Homo sapiens],Homo sapiens,365,365,97%,8e-126,61.22,355,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P32246.1?report=genbank&log$=prottop&blast_rank=50&RID=5ESEE3G3016"",""P32246.1"")"
Description(Sequences  with  E-value WORSE than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  



		


